#A	Z_I	Ex	Z_F	D_Ex	rho
1	0	0	1	0	+2.21086
3	1	0	2	0	-2.1053
11	6	0	5	0	-0.75442
13	7	0	6	0	-0.5596
15	8	0	7	0	+0.6302
17	9	0	8	0	+1.2955
19	10	0	9	0	-1.60203
21	11	0	10	0	+0.7125
23	12	0	11	0	-0.5541
25	13	0	12	0	+0.8084
27	14	0	13	0	-0.69659
29	15	0	14	0	+0.5380
31	16	0	15	0	-0.5294
33	17	0	16	0	-0.3142 
35	18	0	17	0	+0.2820 
37	19	0	18	0	-0.5779 
39	20	0	19	0	+0.6606 
41	21	0	20	0	+1.0743 
43	22	0	21	0	-0.810 
45	23	0	22	0	+0.635 
47	24	0	23	0	-0.579 
49	25	0	24	0	+0.537 
51	26	0	25	0	-0.581 
53	27	0	26	0	+0.673 
55	28	0	27	0	-0.675 
57	29	0	28	0	+0.564 
59	30	0	29	0	-0.461 
61	31	0	30	0	+0.542 
